nmId,productValuation,color,text,answer
0,1,,Банка с пастой пришла повреждённая на дне. Часть пасты вытекла.,"Добрый день! Благодарим Вас за обратную связь.  Нам очень жаль, что Вы получили заказ в таком состоянии.  Наша компания всячески пытается избежать подобных ситуаций, но есть случаи когда мы не можем брать всю ответственность за работу других поставщиков и платформ.  В любом случае нам важно, чтобы наша продукция дарила Вам только положительные эмоции.  По вопросам транспортировки и упаковки продукции необходимо обратиться в службу поддержки клиентов Wildberries.  Надеемся, что Вы останетесь нашим постоянным покупателем. "
0,1,,"Банка, как и у многих, пришла разбитая. К сожалению, обнаружили это уже придя домой. Вкус оценивать не рискнули, так есть мелкие осколки стекла. Поставщику, очевидно, следует продумать более надежную упаковку, учитывая ""бережное"" отношение к посылкам службы доставки.","Алексей, добрый день! Жаль, что баночка была повреждена во время транспортировки(. Мы очень хотим, чтобы заказы продукции ""Иван-поле"" радовали покупателей, поэтому хотим выслать вам целую баночку этого десерта бесплатно! Пожалуйста, напишите на нашу почту (вы можете найти ее на сайте нашего интернет-магазина) или позвоните по телефону горячей линии (указан на каждой упаковке), будем ждать. Надеемся, что продукт в итоге заслужит вашу высокую оценку! 
Мы работаем над тем, чтобы сделать упаковку более крепкой и надежной, очень надеемся, что совсем скоро таких проблем больше не будет возникать."
0,1,,"Бесполезная покупка, очень не удобен к применению и ничего не отбеливает","Здравствуйте, сожалеем, что товар вам не подошел и вы остались не довольны."
0,1,,Бесполезные абсолютно.,
0,1,,Беспонтовые,"Уважаемые конкуренты, повышайте качество собственной продукции, чтобы не приходилось писать фиктивные отзывы другим поставщикам. "
0,1,,"Большая, бестолковая, не адаптированная для детей 21 века. Можно было подобрать куда более подходящие произведения.","Здравствуйте! Спасибо за Вашу оценку и уделённое время. Для того, чтобы Вам определиться с целесообразностью приобретения данной книги, мы размещаем размеры книги, содержание, развороты и видеообзор в разделе иллюстраций. 
"
0,1,,"Брала в чёрной упаковке с пептидами , очень понравился, этот пока не пробовала, позже напишу)))","Добрый день! Благодарим Вас за то, что нашли время оставить отзыв. Нам жаль, что Вы оценили крем в 1 балл из 5 возможных. C уважением, команда LIMONI"
0,1,,Брала за 305 руб. Вообще не советую! Плёнкой отходит от ногтя через несколько дней!,"Добрый день! Порядок подготовки ногтевой пластины:
1. Обезжириваем ногтевую пластину.
2. Приподнимаем чешуйки ногтевой пластины пилкой 180 или 200 грит или бафом 150 грит.
3. Очищаем ногтевую пластину от опила.
4. Используем праймер.
5. Первый слой наносим тонкий втирающий, второй - выравнивающий.

Если материал не носится, то, вероятно, есть эффект привыкания ногтей к кислотным базам. В таком случае на данную базу переход должен быть постепенным - первое время с подложкой из привычной базы."
0,1,,"Бумага пришла в отвратительном состоянии, упаковка грязная с подтеками. Отказ.","Здравствуйте! Уверяем, что отправляем только качественные товары в надлежащем виде. Приносим свои извинения за службу доставки Wildberries.  Правильно сделали оформив отказ. Рекомендуем сделать повторный заказ, данное изделие достойно Вашего внимания! "
0,1,,Бумажные лучше! Не рекомендую!!!,
0,1,,"Был распакован и склеен скотчем ,линяет , не рекомендую!!!",
0,1,,"В клавиатуре справкой стороны западали цифры, особенно 012, очень сильный запах пластика, через месяц работы колёсико в мышке перестала работать. Пожалела, что купила, пустая трата денег","Сожалеем, что Вам пришлось столкнуться с неудобствами во время использования нашего товара. Допускаем, что Вам пришло бракованное изделие. Товар можно вернуть, предварительно оформив заявку в личном кабинете «Проверка товара – Возврат после оплаты по браку». Не забудьте приложить к заявлению видео, где видна проблема. Обращение рассматривается в срок до 5 дней. После подтверждения заявки денежные средства возвращаются на баланс сразу же после фактической передачи товара."
0,1,,"В комплекте небыло выносного датчика температуры. Поняли это только дома, когда стали включать. Очень обидно.",
0,1,,В наборе нет семян... ребёнок расстроился... совести у вас нет...,"Здравствуйте, нам очень жаль, что вам пришлось столкнуться с такой ситуацией. Обратитесь пожалуйста к производителю, он обязательно восполнит вам недостаток семян. Также вы можете оформить возврат. Если ничего не получится, напишите нашему менеджеру: lapina@bumbaram.ru"
0,1,,В наборе семян НЕТ. Обман. Купила землю. Ребёнок расстроен. Похоже не у меня одной такое. Не рекомендую.,"Добрый день! Приносим свои извинения за сложившуюся ситуацию. Обычно семена закреплены в хедере набора (на одной из фото товара Вы можете увидеть, где точно они должны лежать). Если семян в наборе нет, оформите, пожалуйста, претензию через свой личный кабинет. Очень надеемся, что ситуация решится в ближайшее время."
0,1,,"В наш город перестали завозить этот корм, а котейка его любит. Заказывали несколько раз на вб - все было ок. В последний раз и этот корм, и с индейкой, видимо, были с нарушением хранения. Коту было очень плохо - рвота, понос. Вайлдберриз, как так? Это корм, его надо хранить и транспортировать по правилам!",
0,1,,"В флаконе меньше половины, ","Добрый день! Это брак, сожалеем о вашем опыте. Сделаем все возможное, чтобы такого больше не повторялось."
0,1,,В целом тубусе пришла помятая раскраска...,
0,1,,"Взяла на пробу, банка не полная!!!! 
Следов как будто её вскрывали не обнаружила...","Здравствуйте, Наталия! Благодарим Вас за покупку регенерирующей маски Skin Helpers. Объем соответствует заявленным 50 мл. Желаем Вам приятного использования."
0,1,,"Вкус не понравился, как дешëвый в брикетах ""плодово-выгодный . Не советую, разочарование ☹️","Здравствуйте! Спасибо за покупку.

Мы очень огорчены сравнением нашего натурального и качественного продукта с дешевыми «киселями». Наш Кисель не заслуживает такой низкой оценки! Вкус Вам может и не понравится, все зависит от Ваших вкусовых предпочтений. Но это не значит, что продукт плохой! Это значит, что Вам просто нужно попробовать другой вкус нашего Киселя или добавить к нему сахара или сиропа, чтобы сделать вкус слаще и насыщеннее. Или Кисель вообще не Ваш продукт, такое тоже бывает. Мы производим наши Кисели только из натуральных ягод, не используем никаких красителей, консервантов и ароматизаторов!

Попробуйте наши вкусные натуральный Морс Облепиховый с тыквой и апельсином Арт. 41461907 это пребиотический напиток с пищевыми волокнами, которые способствуют росту полезной микрофлоры, нормализации процессов пищеварения, ускорению и облегчению пищевого цикла и повышению иммунитета. Сочетание мякоти тыквы с ягодами облепихи и апельсина является источником бетакаротина.

Здоровья Вам"
0,1,,"Вкус прогорклый,как будто истёк срок годности,запах кокоса,не навязчивый.если б можно было бы вернуть,вернула бы.на губах прогорклая горечь.хотя срок годности до декабря 2021года.","Добрый день. Спасибо за отзыв. Жаль, что продукт Вам не понравился. В бальзаме использованы только натуральные компоненты высокого качества."
0,1,,Вместо бумаги пришла лежанка для животных...,
0,1,,"Вместо льняного семя прислали ореховую пасту из миндаля. На пункте выдачи этого не увидела, только дома когда открыла. И вместо двух банок пришла одна, а вторая висит в статусе «На поиске» И сколько так будет продолжаться? Нет товара, верните деньги. Тем более не надо присылать другой товар. ","Добрый день. Мы абсолютно с Вами согласны, подобный сервис не допустим. Нам искренне жаль что так произошло. Надеемся что сервисная служба WB сможет разрешить данный вопрос. Благоарим Вас за выбор нашей продукции. "
0,1,,Вместо молока была серая водичка с белыми хлопьями. Пришлось всё выкинуть. Очень обидно.,
0,1,,Вместо монеты пришли одеяло и подушка,"Добрый день! Спасибо, что сообщили о проблеме! Доставку обеспечивают сотрудники Wildberries. Мы уже сообщили о проблеме с пересортом данного товара на склад и совместно со специалистами Wildberries работаем над исправлением ситуации. 
Благодарим за понимание!

С любовью и благодарностью, 
Ваша ОптимаБизнес
"
0,1,,Вместо нори  пришли носки мужские в консервной банке. ,"Добрый день.
Сборкой и доставкой заказа, занимаются службы Вб. Рекомендуем обратиться в службу поддержки Вб."
0,1,,"Вместо патчей пришёл совершенно другой товар,какой-то крем для лица... товар приобретался как подарок..",
0,1,,Вместо рисовой муки пришла зелёная гречка.,"Приветствуем вас!
Во избежание неприятных ситуаций, связанных с порчей или несоответствием продукта, мы настоятельно рекомендуем вам проверять продукцию в пункте выдачи или при курьере.
Со своей стороны мы делаем все, что касается регламента Wildberries для транспортировки товара и даже больше, но, к сожалению, мы не можем контролировать качество самой транспортировки до пунктов выдачи и в таких случаях рекомендуем вам оформлять возврат товара.
По вопросам качества доставки вы можете обратиться в магазин через раздел ""обращения"" в личном кабинете и оставить жалобу. Надеемся, что качество доставки вас больше не подведёт."
0,1,,"Вместо сахаразаменителя прислали вот это, деньги до сих пор не вернулись","Добрый день! Спасибо за доверие к нашему бренду. Очень жаль, что Вы получили заказ с неверным вложением, за что мы приносим свои извинения! К сожалению, производитель не может контролировать продукцию на этапе доставки, поэтому просим Вас сообщить об этом представителям службы доставки в Личном кабинете в разделе Обращения. Мы и служба логистики Wildberries стремимся к тому, чтобы заказы были доставлены в целостности и в кратчайшие сроки. Благодарим за понимание!"
0,1,,"Во-первых, кофе не такой уж и хороший. Средненький по качеству и вкусу. А во-вторых, совесть-то имейте, товарищи продавцы, взвинтить цены на кофе вашей марки в два раза, это уж слишком. Ведь производится он в России, под санкции не попал. Что ж вы так зверствуете?","Добрый день! Спасибо за отзыв, для нас это важно.  Грустно, что этот продукт не впечатлил Вас. У каждого свои вкусовые предпочтения. Надеемся, что в нашем большом ассортименте Вы сможете подобрать для себя что-то более подходящее. Что касается увеличения цены на кофе российского производителя, к сожалению кофе в нашей любимой стране не растет и стоимость сырья для производства кофе зависит от курса мировых валют. С уважением, команда MAGICGROUP!  "
0,1,,"Возрастные ограничения не соответствуют действительности. Необходимо в описании приложить скрин страницы про описание сперматозоидов, чтобы люди наглядно увидели содержание книги для детей 5+! Возврат был именно из за этого момента! Книгу брали на возраст 5-6лет. Удержали 62% от стоимости. С возвратом полной суммы жду результатов уже вторую неделю. Очень долго!","Здравствуйте! Спасибо за ваш отзыв! Отметим, что на обложке книги стоит возраст 5+. Нельзя сказать точно, в каком возрасте нужно разговаривать на эти темы. Как правило, вы смотрите на ребёнка и понимаете, что ему пора знать некоторые вещи. Но чем раньше начинать половое просвещение, тем проще маме или папе разговаривать с детьми об этом. Психологи считают, что к 3-4 годам хорошо, чтобы ребёнок знал, кто он, мальчик или девочка, знал, что мальчики от девочек отличаются половыми органами, и узнал, как они называются. А дальше - на Ваше усмотрение. Если Вы считаете, что Ваш ребёнок не готов, отложите чтение этого раздела на более позднее время. Возвратом денежных средств занимается непосредственно Вайлдберриз. Напишите свой вопрос в профиле в разделе ""Обращения"", Вам обязательно помогут."
0,1,,"Вообще не вкусно.. Сах зам противный 
Не советую","Вероника, добрый день! Спасибо за обратную связь. Искренне сожалеем, что вкус шоколадной пасты не оправдал ваших ожиданий. Этот десерт разработали специально для людей, ведущих строгий учёт сахаров в своём рационе. А тёртое какао и полезные пищевые волокна в составе, делают наш продукт не только вкусным, но и полезным. Надеемся, что последующие заказы продукции от ""Иван-поле"" вас не разочаруют. "
0,1,,"Вообще не держится, брала на пробу","Здравствуйте! Возможно, была использована неверная технология нанесения. Перед нанесением необходимо выполнить подготовку ногтевой платсины: шлифовка бафом 150 грит или пилкой 180-200 грит в одну сторону снизу-вверх, затем обезжириватель и праймер. Затем тонким втирающем слоем наносится база. Если есть проблемы в носке, этот слой полимеризуется, и уже на втором слое выполняется более объёмное покрытие. Надеемся, это исправит проблему. Также обращаем ваше внимание, что данная базы подходит для крепких, здоровых ногтей. Для проблемных ногтей лучше использовать базу ASW-190."
0,1,,"Вообще не понимаю, кто говорит, что она классная. На второй день отслоилась... Либо вы совсем посуду не моете и по дому ничего не делаете... База никакая. Не самовыравнивается.","Добрый день. Благодарим Вас за обратную связь. Мы рекомендуем наносить под камуфлирующую базу тонкую подложку из прозрачной базы. И при выполнении работы по дому обязательно использовать перчатки, чтобы защитить покрытие и нежную кожу рук от агрессивного воздействия."
0,1,,"Вообще не понравился, сушит волосы, расход большой","Спасибо за отзыв, Диана! Бальзам по определению не может сушить волосы, так как в составе уходы для волос. Наша компания строго следит за качеством производимых продуктов. Мнение каждого их наших покупателей, крайне важно для нас. Благодарим Вас!"
0,1,,"Вообще не поняла эту пасту. Делала все по инструкции, а результата ноль. Обрабатывала порядка 5 растений в разных местах (не более 3 точек пробуждения на растении), но НИ НА ОДНОМ не появилось новых почек в тех местах, где нанесла пасту по технологии, указаной на упаковке. Уже прошло больше месяца, я расстроена",
0,1,,Вообще не то что я заказала. Ооочень ждала.... Ооочень разочарована!!!,
0,1,,"Вообще не тот запах, рядом не стоял, так сильно расстроился...","Добрый день, нам очень жаль что вам не понравилась данная позиция.Надеемся вас заинтересуют другие товары нашего бренда."
0,1,,"Вообще ни  о чем, мне лично ничего не убрали",
0,1,,"Вообще ни какого эффекта, салфетки внутри почти сухие, брала до этого на сервисе СП, вот там было реально огонь, поэтому тут и заказала, но, очевидно, подделка. Деньги на ветер, не рекомендую.","Добрый день!
Мы поставляем на Вайлдберриз только оригинальные товары, что подтверждается документально.
Приносим извинения, что товар оказался некачественным. Такое могло произойти из-за разгерметизации упаковки (заводской брак).
Можете оставить в личном кабинете заявку на возврат товара.
Приятного дня!"
0,1,,Вообще никакого эффекта. ,
0,1,,"Вообще пришёл другой ,просто золотистый гель-лак, забрала не глянула","Добрый день.
Товар покупателю направляет не бренд, сожалеем о Вашем опыте. Пожалуйста, обратитесь в клиентскую службу поддержки wildberries."
0,1,,Вопрос производителю: Как действует крем на сустав?  Какая периодичность использования крема?  Ожог кожи  это норма? И вопрос магазину: Несет ли ответственность магазин за продаваемый товар?,"Елена, доброго дня!
Спасибо Вам за покупку! 
Крем оказывает обезболивающее и согревающее действие, улучшает подвижность сустава, способствует устранению скованности. 
Мумие в составе крема запускает регенеративные процессы в поврежденном суставе и при длительном применении способствует улучшению состояния сустава. 

Рекомендуем наносить 2-3 раза в день на поврежденный или больной сустав. 
Ожог это не норма. 
Может быть индивидуальная непереносимость компонентов. 
Крем содержит экстракт красного перца, чувствительность кожи у всех разная. 
Может Вы нанесли большую концентрацию крема, рекомендовано наносить тонким слоем. Мы несем ответственность за качество продукции, индивидуальная непереносимость к качеству не относится.
Для здоровья суставов в комплексной терапии рекомендуем Вам пропить травяной сбор и бальзам: 
Травяной сбор Здоровые суставы арт 9213236

Медовый густой концентрированный бальзам для здоровья суставов арт 10250546
Желаем Вам здоровья и ждём за покупками!"
0,1,,Вот в таком виде получила товар,
0,1,,"Вот такая «красота». Принесла домой из пункта выдачи, открыла и очень расстроилась ","Алена, пожалуйста, не расстраивайтесь! С молоком все в порядке. Это молоко сделано без добавления воды и эмульгаторов, поэтому на холоде расслаивается на 2 фракции: густые сливки и жидкую часть молока. Этим свойством даже пользуются кондитеры, чтобы получить очень густые кокосовые сливки.

Если Вы храните молоко в холодильнике или принесли его с улицы, упаковку нужно поместить в ёмкость с горячей водой примерно на 5 минут, далее достать и интенсивно взболтать. Молоко сразу станет однородным. Закрытые упаковки можно хранить при комнатной температуре.
"
0,1,,"Вот такой обман .. написано 100гр, на деле 50, за почти 800₽... Вот это прям подстава... 😢😤 Хорошо что не в подарок взяла... И согласна в предыдущим комментатором, ЭТО не ГАБА, вообще не разу...","Здравствуйте! Спасибо за обратную связь, для нас это важно. Сожалеем, что Вам пришел недовес. Пожалуйста, напишите нам на электронную почту, указанную на обороте упаковки и мы уладим данную ситуацию. Со своей стороны мы проведем проверку на производстве для того, чтобы подобных ситуаций не повторилось."
0,1,,"Вот уж г.....о г.....м  Такое я еще не пробовала, как будто мыло ешь. Ни консистенция самого продукта ни вкус, НИЧЕГО не понравилось.УЖАСНО просто",Очень сожалеем что Вам не понравился наш продукт(((
0,1,,"Впервый раз купила молоко этой фирмы и полное разочерование, оно испорченно, вода и сгусток кокоса. Хорошо, что упаковку не закащала, теперь нет доверия вашей продукции.","Наталья, добрый день! Если Вы внимательно прочитаете описание продукта, то увидите, что там написано о свойстве этого натурального кокосового молока расслаиваться в холодное время года, так как в нем нет эмульгаторов и прочих синтетических добавок. Для того, чтобы стабилизировать молоко и сделать его однородно жидким, подержите упаковку в горячей воде и интенсивно взболтайте. Спасибо за обратную связь."
0,1,,"Врет, показывает больше на 3 градуса",
0,1,,"Все пришло хорошо упакованым.
Ну вкус чувствуется химия очень сильно.
На любителя","Здравствуйте! За вкус в составе отвечают: какао тёртое, какао-порошок, молоко сухое обезжиренное и соль - всё это 100% натуральные компоненты. Спасибо за обратную связь!"
0,1,,"Всегда брал казеин этой фирмы и нарицаний не было. Сегодня получил и после вскрытия пакета сразу насторожился, потому что по виду был похож на обычное сухое молоко. Раньше для разведения одной порции до жидкого состояния требовалось не менее 200 мл молока, сейчас двойная порция легко растворилась в 100 мл даже не створаживоясь. Больше ""насорога"" никогда брать не буду.","Добрый день. Для Казеина у нас используется сырье двух ведущих  европейских производителей из Новой Зеландии и Франции, консистенция продукта может отличатся, но все основные характеристики и качества продукта идеyтичны у обоих видов сырья. Возможно, до этого Вам приходил всегда одинаковый вид сырья. Спасибо что выбрали Prime Kraft!"
0,1,,"Всегда отличный продукт был, а тут пришла упаковка с подкисшим продуктом. Да, расслаиваться должно молоко, но здесь при нагревании отделяется просто жир, собрать  его в однородную массу невозможно. Кофе покрылось как бульон жиром (обычно наподобие сливок взбитых), пить невозможно, и привкус с кислинкой. Я уже порядка 10 пачек покупала, такое в первый раз. Партия от 19.07.20.",напишите пожалуйста на order@unicatrade.ru
