nmId,productValuation,color,text,answer
0,3,розовый,"Цвет куртки очень красивый, но по размеру не подошло. Да и качество не очень. Сразу промокнет, если дождь пойдёт.",
0,2,серый,"Первый раз вижу, чтобы ткань на пастельном белье скатывалась в мелкую катышку!!!!!! Спать очень противно.",
0,1,colorless,"Вот в таком состоянии пришла моя арахисовая паста,поэтому и звезда 1.","Добрый день, производитель не занимается доставкой. У Вас есть 24 часа на проверку и вкладка в личном кабинете для направления претензии."
0,4,colorless,"Шумный ,греется ,сколько проработает не знаю","Здравствуйте! Нам жаль, что товар вам не подошёл. У нас большой ассортимент, уверены вы найдёте что-то для себя. Надеемся следующий заказ вас порадует.Чтобы просмотреть весь ассортимент нашего магазина, Вы можете перейти по ссылке:
https://www.wildberries.ru/seller/16105
С Уважением, официальный магазин производителя брендов ""Ресанта"", ""Вихрь"", ""Huter"", ""Eurolux""."
10004026,4,синий,"Телефон, как телефон. Эффекта вау не произвел. Камера не очень четкая, фото не фонтан. Внешне очень симпатичный. За 8500 сойдет",
0,4,светло-розовый,"Заказывали с оранжевыми ручками,а пришёл с розовыми ",
10002228,5,,"Упаковка для подарка простовата, но сам чай и варенье просто супер, очень вкусно, брала для себя","Добрый день! Спасибо, что нашли время оставить отзыв. Нам очень приятно, что Вы выбрали наш товар.
"
0,5,светло-розовый,Все хорошо ,
0,2,белый,"Мышь не соответствует  заявленному товару на фото и на упаковочной коробке, нет гибкого утолщения у провода в месте, где провод заходит в мышку во избежание перелома провода. По факту просто ооочень тоненький проводок, который не прослужит долго. Имея плачевный опыт таких соединений, мышь заказывала, полагаясь на фото сайта. Подать заявку на проверку товара в течении 4-х часов не успела, были важные причины, теперь эта ситуация отразится на % выкупа. Думаю, здесь вина не магазина, а изготовителя, который вводит покупателей в заблуждение, вкладывая в упаковку товар, не соответствующий изображению на этой самой упаковке. И не понятно, откуда на фото мышь с этим самым утолщением?",
0,5,"винный, темно-алый, малиновый","Цвет супер, как на фото, плотный. Ложится хорошо","Добрый день.
Благодарим Вас за положительный отзыв о нашем товаре. Ждем Вас за покупками!"
0,5,белый (осн.),"Клёвые, ну оооооч. клевые",
0,5,,"Это любимейшее кокосовое молоко! Сверху паста, внизу молоко)","Марина, спасибо Вам за отзыв! =)"
0,5,"фуксия, розовый грейфрут, ярко-розовый, розово-пурпурный, розовая фуксия, розовый лимонад, розовая гвоздика, розовый","Взяла разные цвета лаков, базу и топ, обезжириватель. Маникюр делаю на дому сама себе и не нуждаюсь в больших объемах лака, так как все сразу не используешь и часто выкидываешь полные банки из-за срока годности. Эти малютки прекрасные в работе, да не самовыравниваются, приходится поработать подольше с ними. Но, за такую цену - носка прекрасная. Обычно ношу гель лак 3-4 недели, и он держится без сколов. Эти малютки тоже отлично держаться, я теперь большой поклонник данной марки гель-лаков.  ","Добрый день! Благодарим вас за положительный отзыв, рады что вы выбрали гель лак для ногтей Beauty Free. С гель лаком для маникюра Beauty Free вы будете в центре внимания.
Рекомендуем попробовать такие продукты как : база для гель лака Beauty Free и топ для ногтей Beauty Free
Приятных покупок! Надеемся увидеть вас снова."
0,4,коричневый,"Заказывала две шторы. Пришли шторы разных оттенков. Одна зеленоватая, другая коричневая. Вернула по этой причине. Прошу не изменять процент выкупа",
0,3,голубой,"подставка нормальная, но пришла без одной антискользящей штучки",
0,5,оранжевый,"Звезды за обслуживание ,а товар пришел с отломленым реле давления,подскажите могу ли поменять товар или вернуть и втечении скольки дней .очень жаль",
0,4,черный,"Качество отличное, но сильно большемерит","Спасибо за отзыв, примем к сведению ваше замечание."
0,1,синий,"Как по мне так бесполезная трата денег,нам не помогла от слова совсем, только хуже.не рекомендую","Александра, добрый день! Нам очень жаль, что бутылочка не оправдала Ваши ожидания. Благодаря работе вентиляционной системы, бутылочки Dr. Browns снижают вероятность колик, связанных с заглатыванием малышом воздуха при кормлении. Если колики вызваны другой причиной, бутылочки не помогут."
0,2,,"Мне кажется, что я просто купила вазелин с желтоватым оттенком.","Спасибо за обратную связь! Жаль, что продукт не оправдал Ваших ожиданий. Бальзам состоит только из натуральных компонентов, без искусственных красителей и консервантов. Входящие в состав масла и экстракты обеспечивают надежный уход и питание чувствительной кожи губ."
10002314,2,"черный, синий, серый","Никогда не покупайте здесь вещи.Вернуть нереально,качество сервиса оставляет желать лучшего.Купила бублик,не разбираюсь в них. Шина показалась маленькой,но думала что такая и должна быть.В итоге,когда дома попробовала надуть,то шина оказалась маленькой.нап сала заявку на возврат,но мне отказали.Потом еще писала заявки,т.к. в описании товара написана шина размера 13(она и лежит в комплекте),а на самой этикетке к диаметру 110 нвписано,что диаметр должен быть больше.В заявке отказали- они стали ссылаться на то,что нужно сразу смотреть что берёшь!!! И оттянули сроки возврата!!!Очень жаль,что придётся распрощаться с этим магазином.О своих клиентах здесь не думают, цель не больше постоянных клиентов иметь,а побольше собрать бабла с первых клиентов,кто еще не встретился с проблемами",
0,2,прозрачный,"Первую пару относила на ура целый месяц...но одев вторую относила всего один день ,после снятия начала промывать одну из линз и она просто рассыпалась на ладоне.Линзами пользуюсь уже 20лет и первый раз с таким сталкиваюсь.",
0,4,colorless,"Тоньше чем мои предыдущие патчи другой фирмы. Банку вскрыть было очень тяжело. Жидкости много. Сползают. О результате говорить рано, использовала 1 раз.",
10003561,1,серый,Вообще ужасного качества. Я даже мерить не стала,
0,5,,Заказываю постоянно. Очень нравится🙂,
0,2,черный,Все четко кроме самого качество обуви. Обычная базарная резинка в ней нога как в бане,
0,5,бежевый,👍🏻👍🏻👍🏻👍🏻👍🏻отличная декоративная подушка ,"Добрый день! Благодарим Вас за отзыв на подушки на стулья Altali! Рады, что Вы остались довольны! В дополнение к подушкам рекомендуем приобрести стеганое покрывало на кровать или диван из этой же коллекции арт. 17723639. Оно поможет Вам в создании комфорта и уюта в Вашей комнате! Ждем Вас с новыми заказами и желаем замечательного настроения!"
0,3,белый,"У кого потолочный карниз, не советую. Ощущение, что лента пришита неправильно, крючки цепляются низко и сама тюль упирается в потолочный карниз и очень некрасиво выглядит да и двигается с трудом. ",
0,4,оранжевый,"Хороший , но тусклый цвет .","Дорогой покупатель, благодарим за выбор текстильной продукции нашей компании! Мы стремимся максимально точно отображать цветовую палитру на фото. Перед размещением на сайте, фото проходят профессиональную обработку и цветокоррекцию. Хочется отметить, что цветопередача на разного рода мониторах и экранах, может отличаться от оригинала. Спасибо за уделенное время! Будем рады видеть вас вновь на страницах нашего каталога, просто наберите в поиске Галтекс!"
10001540,2,желтый,"Боди пришло обрисованное ручкой,а так само по себе хорошее",
0,2,черный,"Верх кожаный, все аккуратно выполнина, но подошва очень жёсткая. В них долго не проходишь.",
0,2,синий (осн.),джинсы не понравились. они больше серые и с потерты как-будто зеленым. цвет совершенно не соответствует картинке. очень разочаровалась.этих денег не стоят.,
0,3,красный,"Яркие, легкие. Симпатичные,  но буду возвращать. Моя стопа - 26 см, всегда носила 39-39,5, теперь из-за косточки перешла на 40. По таблице размеров надо было брать 41, я же выбрала 40 - и оказались велики сантиметра на полтора. Из-за этого при ходьбе задник болтается, трет пятку, а на заднике жесткие швы (см. фото). Особенно неприятно ощущается выпуклый вертикальный (сильно выпуклый). Так что увы...",
0,4,"синий, красный","Понравилось, без запаха, но очень жёсткое. На фото после стирки. Не полиняло.",
0,3,розовый,"Ооочень простенькая. Пошита как-то ""легкомысленно"". Детская.",
0,2,голубой,"Сумка вместительная, только быстро порвалась и стало плохо держать холод.","Добрый день!
Благодарим вас за отзыв. Нам жаль, что произошла такая ситуация.  Возможно это произошло из за перегрузки. 
С уважением, представитель бренда!"
0,4,серый,Не знаю как смотрят на фото те кто пишут что свет совсем не соответствует. Все соответствует. Белье отличное а за такую стоимость так вообще прекрасно!,
0,5,синий,"Отличные плавки, швы ровные, всё чётко.",
0,2,темно-синий,"На фото абсолютно другое, такие бы взяла.. а что получила, то 2 большие разницы, наверное другая партия пришла...",
0,3,,"Бумага хорошая.По сантиметрам совпадает.По качеству тоньше .В целом всё хорошо,заказывала за 202 рубля","Добрый день. Если все хорошо, зачем ставите низкую оценку? Обидно :( Плотность бумаги соответствует заявленной. Рекомендуем внимательно изучать характеристики товара."
0,1,,Заказывала шампунь для волос. Прислали бальзам. Больше не буду заказывать !,"Добрый день. Очень сожалеем, что во время доставки, товар был перепутан. За этот процесс отвечает WB, а здесь вы общаетесь с представителем поставщика. Перед отправкой на склад WB товар тщательно  проверяется."
0,2,,"Не понравился на вкус от слова совсем. Зайдёт фитоняшкам кто сахар совсем исключил из рациона. А если кто себя не ограничивает и питается хотя бы 70 % полезности и 30 % вредности, то не понравится. ",
0,2,"темно-синий, голубой","Платье большемерит.На фото не видно, что ткань с люрексом. Хоть и приятная к телу. Рисунок на платье не навязчивый, аккуратный. На рост 168 юбка повисла ниже колена. Прошу не снижать %выкупа",
10003839,4,голубой,"Сшито аккуратно, 2 слоя фатина, сетка и хб подклад. На стройную девочку 125 ростом немного широковато. В целом хорошее платье, взяла за 1362","Добрый день. Благодарим за отзыв. Приятно, что Вы оценили качество и дизайн. На будущее для корректного подбора размера необходимо обращать внимание не только на рост, но и на обхват груди, который указан вторым после роста. Это поможет быстрее подобрать посадку. Надеемся, что Вы найдете еще много интересных вещей в коллекциях бренда SMENA. Желаем Вам только приятных покупок."
0,3,светло-серый,"Обула тапочки 8 марта.Еще недели не прошло,уже вот-такой вид(Ткань непрактичная.Своих денег не стоят!Скоро на выброс(","Татьяна, нам очень жаль, что так произошло. Учтем Вашу ситуацию и пересмотрим материал тапочек."
0,2,бирюзовый,Материал- больше похож на пластик. Цвет не такой яркий. Оставила для сменки на всякий случай. ,
0,2,,"Молоко было вкусным до последнего заказа. В холодильнике молоко отслоилась на молоко и кокосовое масло. Последние 200мл молока это был сплошной жир. Но это я поняла когда мне стало плохо и, простите за подробности, меня вырвало 2 кусками масла! Оба примерно с половину большого пальца руки. И это единственное молоко, которое при низких температурах не густеет, а именно разделяется на составляющие. Если воду и кокосовую мякоть ещё можно соединить при взбалтывании, то кокосовое масло болтается внутри одним большим куском.","Добрый день! Перед употреблением кокосового молока мы рекомендуюем поместить тетрапак в теплую воду, а затем хорошо взболтать упаковку. Расслоение кокосового молока и сливок при низких температурах нормальный процесс. "
0,1,бежевый,"Следы клея на стыка кожи с подошвой, ещё и трещина на подошве. Совершенно непонятно, почему покупателям присылают бракованный товар и учитывают его в проценте выкупа! В целом: задняя часть туфель вся мягкая, форму не держит, носок жёсткий, скорее всего немного маломерят.",
0,3,оранжевый,"Для меня оказалась короткая. Хотелось длиннее, как на фото. Качество супер.","Нам очень жаль, что вы столкнулись с такой ситуацией. 
По поводу размера - все индивидуально и к сожалению не всегда одежда подходит под конкретные параметры каждого индивидуального человека. Для выбора максимально комфортной посадки одежды - вы всегда можете заказать несколько смежных размеров, чтобы определить наиболее подходящий под вас. 
С Уважением, команда Forstrong. "
0,2,бежевый,"Ну качество посредственное, заусенцы и неровности.","Добрый день! Нам жаль, что товар не соответствует Вашим ожиданиям. Мы очень ценим обратную связь от наших покупателей, для нас важно мнение каждого клиента. Приносим свои извинения за доставленные неудобства!"
0,2,розовый,"Ткань на пододеяльнике с фабричным браком. Не учитывайте процент выкупа. Если бы не это , я бы выкупила . Вина не моя .",
0,4,colorless,"Текстура приятная, запах не очень...",
0,5,colorless,Вещь приятная и полезная. Ребенок с удовольствием поливал всходы чайной ложкой и аккуратно играл динозаврами. На фото базилику недели полторы.,"Здравствуйте! Спасибо вам за замечательный отзыв. Нам очень приятно, что вы доверяете нам, выбирая нашу продукцию."
0,1,colorless,"Слово ""паста"" этой жиже не подходит. Жидкая масляная масса с вязким осадком. При размешивании осадка все равно оч жидко, не застыла даже в холодильнике. Вкус так себе, кокос чувствуется, арахис нет. Послевкусие неприятное, вяжущее, с запахом технического масла, запах ненатурального продукта. 
Банка пришла без какой-либо упаковки, пакета, коробки. 
Разочарование от покупки. Деньги потрачены зря.","Нам очень жаль, что товар Вам не подошел"
0,2,черный,Щетка не понравилась.жесткая и волосы тянет.выдрала пол головы волос.,
0,3,зеленый,"Сумка достойная, но не было хладогента. Перезакажу",
0,3,"пудровый, абрикосовый","Пудра пришла в пупырку завернутая. Вся рассыпанна. Даже разворачивать не стала. Отказ. Жаль, очень ждала.",
0,1,"белый, красный","Крышечка на флакончике вся размокла и развалилась, жидкость протекает. Я бы не советовала. Этих денег не стоит.","Добрый день. Спасибо за обратную связь. Сожалеем, что ваш опыт работы с продуктом оказался неудачным, и талисман вас разочаровал. Мы обязательно передадим ваши наблюдения в производственный отдел. Уверены, это поможет сделать продукт лучше. Спасибо, команда «Бумбарам»."
10003212,3,прозрачный,запах не плохой .а распылитель сломан,"Добрый день! Спасибо за отзыв. Сожалеем, что вам пришлось столкнуться с подобным опытом. Мы будем работать над улучшением транспортной упаковки. "
10002363,5,сапфировый,"Рюкзачек супер! Очень вместителтный, заказывала на выбор 3 рюкзака и именно этот подошёл, остальные были детские, маленькие. И по цене очень порадовал.","Здравствуйте!Спасибо за Ваш отзыв! Благодарим за высокую оценку и за то, что Вы нашли время оставить отзыв, мы и дальше будем стараться радовать Вас."
0,3,"белый, голубой",Цена=качество. После нескольких стирок превратилось в «марлю»,
0,2,черный,"Висят очень сильно, размер не соответствует",
0,2,,"Молоко получила плохого качества - несвойственный запах, комочки не расходятся даже при добавлении в горячий кофе, сколько ни взбалтывай. Пожалела, что заказала целый литр. Упаковки, как на 1 л, так и на 0,33 л, после вскрытия протекают в месте крепления крышек, поэтому тоже особо не взболтаешь - содержимое выплескивается.",
0,4,colorless,Чистит но для моих чувствительных зубов не подошла,
0,4,черный,"Качество хорошее ,НО заказывал по таблице размеров 42р пришли 43.5 ,постоянно такие проблемы с магазином Адидас на валберис",
0,1,черный,"Расческа просто ужас. Зубчики все провалились через неделю использования. Можно выбросить сразу. Производителю должно быть стыдно за такие товары. Еще и профессиональная. Ужас, ужас, ужас ",
0,1,глубокий пурпурный,Заказал Мадженту привезли Елоу...бардак !!!!!!!,
0,3,темно-бежевый,"Есть у нас Живой песок. И мне не нравилось, что он очень мягкий, рассыпчатый. Точнее он хороший, но хотелось что-то похожее на настоящий песок, чтоб сын мог играть в нем с машинками. Решила заказать этот песок. И была в шоке, когда его достала. Да, лепится отлично. Но он твердый, весь комками. Для игры, катать машинки, загружать, выгружать песок не выйдет. Ребенок поиграл в него 10 мин. и попросил достать другой. Вообщем, я разочеровалась в нем. ",
0,3,малиновый,Есть один жирный минус- жутко потеет ребёнок в них. ,"Не нужно кутать. Наша одежда - полноценный слой, и вниз нужно надевать что-то полегче. Флис прекрасно отводит влагу и является самым удачным вариантом экипировки под непромокайки до +5/7 градусов "
0,1,colorless,Просроченный продукт. Возврат. Прошу не учитывать процент выкупа.,"Добрый день! Мы очень сожалеем, что Вы столкнулись с такой ситуацией и приносим свои извинения. Товар будет проверен. Благодарим, что не оставили без внимания  и сообщили нам. С нашей стороны будут приняты меры, чтобы впредь подобного не происходило, и Вы всегда оставались довольны покупкой и качеством обслуживания. С уважением, интернет - магазин Wildberries."
0,3,серый,выглядит на свои деньги синтетика с цыганским блеском,"Добрый день! Нам действительно жаль, что мы не смогли Вас порадовать(( Просим Вас заказать другую нашу модель и надеемся, что Вы не будете разочарованы!) С уважением, команда Lussotico
"
0,4,"синий, молочный","Качественно сшито. Не на жару. Тк материал плотный очень. У синих к тому же более жесткий. Светлые - более мягкие на ощупь .  У нас так же есть футболки и штанишки из этой коллекции. Вещи на стройных деток. Не для пухлешей. При росте 69 см , весе 7700,  трусики носим на голое тело. На животике остаются следы. Мы покупали размер 74-80. Те маломерят. При весе 7200 следов не оставалось.  Трусики купили за 460 рублей комплект. Не дешево.",
0,3,бордовый,"Очень разочарованна,некачественно сшит как будто из картонки ,клей виднеется ,ожидала совсем другое конечно ,повелась на скидку ,за такую цену ясно что будет именно такой кошелёк.Оставила его ,так чисто для разнообразия.",
0,4,белый,"Заказала в 38 размере. Теперь большие. Получается маломерят на пол-размера, а половинчатых размеров, к сожалению, нет. Пятка и нос на кроссах опять измазаны в чем-то чёрном. Возможно это какой-то брак производства, так как не я одна жалуюсь на такую проблему - девушки, которые заказывали другие модельки, тоже об этом в отзывах пишут. Решила оставить.",
0,4,белый,"Большемерят на размер. На 38,5 заказанный 38 свободен",
0,1,colorless,После сезона перестал включаться. ,"Добрый день! Мы сожалеем о сложившейся ситуации, для детального рассмотрения причин и решения вопроса, просим обратиться в наш сервисный центр, список с адресами расположен на последней странице паспорта устройства.
С Уважением, официальный магазин производителя брендов ""Ресанта"", ""Вихрь"", ""Huter"", ""Eurolux"".
"
0,1,прозрачный,"Сохнет на воздухе, пахнет ацетоном. Выкинула","Добрый день! Данная база является быстрорастворимой, она снимается жидкостью за 5 минут. Идеально подходит для домашнего использования. Также её можно использовать как праймер. Частично сохнет в лампе, частично на воздухе - это её особенность. Не подходит для выравнивания ногтевой пластины - то есть для более толстого нанесения."
0,5,colorless,"Отличная паста, многие пробовала, но эта лучшая, без залипов","Добрый день! Спасибо за Ваш отзыв!
Мы рады, что Вы выбрали нашу продукцию.
"
0,4,желтый,"В целом тоже довольны с дочкой 2,5 лет. Текстура приятная, запах не навязчивый. Но немного липнет к рукам!",
0,2,черный,После второй стирки поползли все нитки. Качество не очень ,
0,2,"темно-синий, голубой","Синтетика голимая. Пока снимала, чуть не убило током😂",
0,1,"розовый, серый","Отказ, рюкзак оказался бракованный, с пятном на боковой стороне. Прошу не снимать процент выкупа. По качеству не понравился. Выбрали другой рюкзак.",
0,4,молочный,"Я так хотела сыночку что-нибудь из этой серии... Заказала боди, т.к. комбезика нужного размера нет. И увы - отказ. Не обратила внимание, что он с запахом. Повертела, посмотрела на две скромные кнопки и поняла, что мой бутуз будет из этого боди вылезать через очень свободную горловину :( И да, боди маломерит на целый размер: 68-74 в самую пору на худенького малыша ростом 64,5 см.",
0,2,черный,"Размер удачный. Но всё в ней пригорает, чем ни смазывай. Абсолютно всё!","Здравствуйте! Спасибо за ваш отзыв. Сожалеем, что противень не дотянул до ожиданий. При соблюдении правил эксплуатации покрытие выдерживает до 10 000 циклов готовки. Возможно, противень был перегрет. Надеемся, что новые покупки принесут вам только положительные эмоции. Будем рады видеть вас снова!"
0,4,темно-синий,"Абсолютно не понравилась.  Качество кожи низкое.  На ощупь,  как бумага. Цвет блеклый.",
0,3,желтый,"Прочитав отзывы, обратила внимание что бывает недокомплект кубиков, в пункте выдачи проверила что есть пакет с фишками и кубиками, а дома оказалось что карточек 26 вместо 27, нет одного джокера...Неприятно, получается что нужно тратить время на пересчет карточек, можно как-то этого недостающего джокера получить?
Качество материалов хорошее, карточки плотные, крупные, удобный тубус для хранения, кубики с большими цветными гранями. Играть по правилам не совсем получается, как писали в предыдущих отзывах сочетания цветов заканчиваются быстро и нужно дальше что-то придумывать самим, а у нас еще и одного джокера нет, которые по задумке авторов участвуют в таких ситуациях. Из-за этого пока в полной мере не оценили игру, будем тестировать дальше. Надеюсь на ответ производителя о недокомплекте.","Добрый день. Напишите, пожалуйста, обращение на почту info@yarastu-toys.ru , прикрепив фото и описав проблему. Мы Вам обязательно ответим."
